Id,Age,Income,Home,Emp_length,Intent, Amount ,Rate,Status,Percent_income,Default,Cred_length
15951,26,7904,MORTGAGE,0,HOMEIMPROVEMENT, 500.00 ,10.71,0,0.06,N,3
18502,33,18000,RENT,0,DEBTCONSOLIDATION, 500.00 ,,0,0.03,N,6
871,26,19500,RENT,0,MEDICAL, 500.00 ,11.41,0,0.03,N,2
1355,22,26000,MORTGAGE,3,PERSONAL, 500.00 ,10.46,0,0.02,N,4
8607,26,59000,MORTGAGE,7,HOMEIMPROVEMENT, 500.00 ,9.76,0,0.01,N,2
873,21,19000,RENT,0,EDUCATION, 700.00 ,12.29,0,0.04,N,2
18503,27,12000,RENT,1,DEBTCONSOLIDATION, 725.00 ,7.37,0,0.06,N,6
875,25,19000,RENT,0,DEBTCONSOLIDATION, 750.00 ,12.29,0,0.04,Y,4
3051,21,35000,MORTGAGE,2,VENTURE, 800.00 ,7.37,0,0.02,N,3
18504,32,12000,RENT,3,MEDICAL, 900.00 ,10.28,1,0.07,N,5
8346,25,57000,OWN,4,MEDICAL, 900.00 ,8.63,0,0.02,N,4
18505,30,23000,RENT,1,MEDICAL, 950.00 ,,0,0.04,N,6
15959,25,5000,RENT,0,VENTURE," 1,000.00 ",9.64,1,0.2,N,4
16216,25,5000,RENT,0,EDUCATION," 1,000.00 ",9.64,1,0.2,N,4
15958,26,5500,RENT,0,EDUCATION," 1,000.00 ",9.63,1,0.18,N,3
15955,24,7000,RENT,2,MEDICAL," 1,000.00 ",,0,0.14,N,2
31928,37,7200,RENT,0,VENTURE," 1,000.00 ",11.14,0,0.14,N,13
15952,24,7800,RENT,1,EDUCATION," 1,000.00 ",11.36,0,0.13,N,4
16821,24,7800,RENT,1,EDUCATION," 1,000.00 ",11.36,0,0.13,N,4
15945,23,8088,RENT,,MEDICAL," 1,000.00 ",10,0,0.12,N,4
15926,24,9600,RENT,5,PERSONAL," 1,000.00 ",8.49,1,0.1,N,4
1,21,9600,OWN,5,EDUCATION," 1,000.00 ",11.14,0,0.1,N,2
876,23,10000,RENT,,PERSONAL," 1,000.00 ",10.37,1,0.1,N,2
877,22,10000,RENT,0,HOMEIMPROVEMENT," 1,000.00 ",14.74,1,0.1,N,4
878,21,10140,RENT,,HOMEIMPROVEMENT," 1,000.00 ",13.43,1,0.1,N,4
18506,31,10200,RENT,,MEDICAL," 1,000.00 ",,1,0.1,Y,10
881,23,10500,RENT,,MEDICAL," 1,000.00 ",10.25,1,0.1,N,2
15913,21,10560,OWN,5,VENTURE," 1,000.00 ",10.36,0,0.09,N,4
882,22,11220,RENT,,MEDICAL," 1,000.00 ",12.99,0,0.09,N,4
883,22,11760,RENT,0,VENTURE," 1,000.00 ",13.98,0,0.09,N,4
18507,27,11808,RENT,,MEDICAL," 1,000.00 ",14.91,1,0.08,N,8
884,23,11820,RENT,,DEBTCONSOLIDATION," 1,000.00 ",14.65,0,0.08,N,3
18508,33,12000,RENT,,EDUCATION," 1,000.00 ",7.88,1,0.08,N,7
885,25,12000,RENT,0,EDUCATION," 1,000.00 ",10.65,0,0.08,N,2
887,22,12000,RENT,0,PERSONAL," 1,000.00 ",13.57,1,0.08,N,3
16957,22,12000,RENT,0,EDUCATION," 1,000.00 ",13.57,1,0.08,N,2
886,21,12000,RENT,1,EDUCATION," 1,000.00 ",13.98,0,0.08,N,2
18509,28,12000,RENT,1,HOMEIMPROVEMENT," 1,000.00 ",16.32,1,0.08,Y,9
888,22,12240,RENT,1,PERSONAL," 1,000.00 ",14.96,1,0.08,Y,3
18510,29,12480,RENT,,EDUCATION," 1,000.00 ",8.9,0,0.08,N,9
889,24,13728,RENT,,DEBTCONSOLIDATION," 1,000.00 ",10,1,0.07,N,4
29348,40,14400,RENT,0,MEDICAL," 1,000.00 ",9.25,0,0.07,N,11
18081,30,14400,OWN,2,VENTURE," 1,000.00 ",10.62,0,0.07,N,10
890,21,14400,RENT,1,VENTURE," 1,000.00 ",16.29,1,0.07,N,4
18511,29,14400,RENT,3,EDUCATION," 1,000.00 ",16.32,1,0.07,Y,8
893,22,14400,RENT,2,VENTURE," 1,000.00 ",16.69,1,0.07,Y,3
895,22,15000,RENT,0,MEDICAL," 1,000.00 ",14.3,1,0.07,Y,3
325,21,15600,OWN,5,VENTURE," 1,000.00 ",7.29,0,0.06,N,4
896,21,16000,RENT,2,VENTURE," 1,000.00 ",15.65,1,0.06,Y,3
